role_id,role_name,module_id,module_code,module_name,screen_view,tab_view,field_view,create,update,submit,return_for_fix,approve,reject,cancel,reverse,delete_draft,export,print,grant_permission,override_cap,scope_proposed,derivation
12,"ادارة المبيعات",32,Reports/reports.php,"مركز التقارير",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",34,movement/map_page.php,"متابعة المشروع",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",35,Clients/clients.php,العملاء,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",36,Projects/projects.php,المشاريع,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",37,Contracts/contracts.php,العقود,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",38,Equipments/manage_failure_codes.php,"تصنيفات الأعطال",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",40,Equipments/fleet_models.php,"الأنواع والموديلات",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",41,Equipments/fleet_depreciation_profiles.php,"إعداد الإهلاك",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",42,Maintenance/breakdowns.php,"البلاغات (غير مفعّلة)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",43,Maintenance/orders.php,"أوامر الصيانة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",44,Maintenance/inspections.php,"الفحص الفني اليومي",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",45,Maintenance/preventive_plans.php,"الصيانة الوقائية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",46,Maintenance/master_data.php,"إعدادات الصيانة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",47,Workforce/worker_register.php,"السجل التشغيلي للعامل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",48,Workforce/worker_contract.php,"عقود العاملين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",50,Workforce/worker_leave_absence.php,"الإجازات والغياب",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",51,Workforce/worker_movement.php,"تنقلات العاملين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",52,Workforce/housing_units.php,"السكن والإعاشة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",53,Workforce/worker_evaluation.php,"تقييم الأداء",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",54,Workforce/worker_settlement.php,"تسويات العاملين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",55,Workforce/workforce_requirement.php,"احتياج القوى والتخطيط",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",56,Workforce/worker_worklog.php,"سجل الأحداث التشغيلية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",57,Employees/job_titles.php,"المسميات الوظيفية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",58,Employees/employee_roles.php,"الأدوار الوظيفية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",59,Employees/equipment_operators.php,"المشغّلون والسائقون",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",60,main/users.php,"إدارة المستخدمين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",61,main/all_assistants.php,المعاونون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",62,Employees/employee_contracts.php,"عقود الموظفين",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",63,Employees/employee_contracts_details.php,"ملف عقد الموظف",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",64,Employees/employee_profile.php,"بطاقة الموظف",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",65,Employees/showcontractemployee.php,"عرض عقد الموظف",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",66,Opportunities/opportunities.php,"الفرص البيعية",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",67,Procurement/dashboard_proc.php,"لوحة المشتريات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",68,Procurement/items_proc.php,"كتالوج الأصناف",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",69,Procurement/requests_proc.php,"طلبات الشراء",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",70,Procurement/orders_proc.php,"أوامر الشراء",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",71,Procurement/receipt_custody_proc.php,"الاستلام المؤقت",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",72,Procurement/stock_proc.php,المخزون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",73,Procurement/issue_proc.php,"صرف المخزون والعهدة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",74,Procurement/reordering_proc.php,"حدود إعادة الطلب",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",75,Procurement/suppliers_proc.php,"موردو المشتريات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",76,Procurement/master_data_proc.php,"البيانات المرجعية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",77,Clients/activities.php,"أنشطة العملاء",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",78,Clients/commercial_risks.php,"المخاطر التجارية",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",79,Clients/tenders.php,المناقصات,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",80,Clients/quotations.php,"عروض الأسعار",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
