nav_id,role_id,role_name,door,group_id,label_ar,route,sort,active,module_id,module_code
46,3,"ادارة الاسطول",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,10,1,116,FinRequests/dept_inbox.php
47,3,"ادارة الاسطول",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,20,1,105,Finance/unit_records_fin.php
50,3,"ادارة الاسطول",APPR,,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,30,1,,
502,3,"ادارة الاسطول",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,40,1,89,Finance/budget_form_fin.php
771,3,"ادارة الاسطول",DAILY,,"لوحة الجاهزية",Fleet/readiness_board.php,5,1,196,Fleet/readiness_board.php
41,3,"ادارة الاسطول",DAILY,,التشغيل,Oprators/select_project.php,10,1,23,Oprators/select_project.php
603,3,"ادارة الاسطول",DAILY,,"خطة عمل الغد",Operations/daily_plan.php,15,1,152,Operations/daily_plan.php
44,3,"ادارة الاسطول",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,20,1,114,FinRequests/request_form.php
45,3,"ادارة الاسطول",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,30,1,115,FinRequests/my_requests.php
466,3,"ادارة الاسطول",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
38,3,"ادارة الاسطول",REC,,المعدات,Equipments/equipments_fleet.php,10,1,8,Equipments/equipments_fleet.php
42,3,"ادارة الاسطول",REC,,المشرفين,main/project_users.php,20,1,14,main/project_users.php
49,3,"ادارة الاسطول",REC,,"الأصول والإهلاك",Finance/assets_fin.php,30,1,101,Finance/assets_fin.php
582,3,"ادارة الاسطول",REC,,"حاويات العقود",Operations/containers.php,48,1,149,Operations/containers.php
592,3,"ادارة الاسطول",REC,,"مواقع التنفيذ",Projects/sites.php,49,1,150,Projects/sites.php
620,3,"ادارة الاسطول",REC,,"قراءات العدّادات",Equipments/meter_readings.php,54,1,155,Equipments/meter_readings.php
456,3,"ادارة الاسطول",REC,,"وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,62,1,141,Equipments/equipment_documents.php
43,3,"ادارة الاسطول",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
